transaction_id,date,amount,description,company_name
2VRUPPN7,Thu May 30 14:55:33 IST 2024,577.44,Transaction from BranchA branch,Canara
7YKNEX2U,Thu May 30 14:55:33 IST 2024,711.68,Transaction from BranchA branch,Canara
T5KG3Z9G,Thu May 30 14:55:33 IST 2024,266.60,Transaction from BranchA branch,Canara
VOB56AHI,Thu May 30 14:55:33 IST 2024,818.69,Transaction from BranchA branch,Canara
KVJXGOX4,Thu May 30 14:55:33 IST 2024,243.69,Transaction from BranchA branch,Canara
ML9CZOQ4,Thu May 30 14:55:33 IST 2024,472.73,Transaction from BranchA branch,Canara
B8EU0Z4T,Thu May 30 14:55:33 IST 2024,55.12,Transaction from BranchA branch,Canara
ZWF44HVE,Thu May 30 14:55:33 IST 2024,588.24,Transaction from BranchA branch,Canara
S9SGVNQ3,Thu May 30 14:55:33 IST 2024,93.44,Transaction from BranchA branch,Canara
GVHVS0UH,Thu May 30 14:55:33 IST 2024,146.91,Transaction from BranchA branch,Canara
